"FLAG_RESIL";"CLASS_AGE";"CLASS_OFFRE";"CLASS_DEP";"CLASS_VAR";"CLASS_TU";"CLASS_HORS_FFT";"CLASS_QT_M1";"CLASS_QT_M2";"CLASS_QT_M3";"CLASS_TYP_VAR";"CHOIX_OFFRE"
"36";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"38";"RESIL_NON";"[61:110]";"O1O2";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"39";"RESIL_OUI";"[41:60]";"O3O4";"NO_DEP";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXNON"
"40";"RESIL_NON";"[0:25]";"O1O2";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"41";"RESIL_NON";"[26:40]";"O5O6";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"42";"RESIL_NON";"[41:60]";"O3O4";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"43";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"44";"RESIL_NON";"[26:40]";"O1O2";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"45";"RESIL_OUI";"[61:110]";"O1O2";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"46";"RESIL_NON";"[26:40]";"O3O4";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"47";"RESIL_NON";"[0:25]";"O5O6";"NO_DEP";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXNON"
"48";"RESIL_NON";"[0:25]";"O1O2";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"49";"RESIL_NON";"[61:110]";"O5O6";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"50";"RESIL_NON";"[61:110]";"O1O2";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"MOY_VAR";"CHOIXOUI"
"51";"RESIL_NON";"[26:40]";"O3O4";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"52";"RESIL_NON";"[61:110]";"O3O4";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"53";"RESIL_OUI";"[61:110]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"MOY_VAR";"CHOIXNON"
"54";"RESIL_NON";"[41:60]";"O1O2";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"55";"RESIL_NON";"[26:40]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"57";"RESIL_NON";"[41:60]";"O3O4";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"58";"RESIL_OUI";"[61:110]";"O3O4";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"60";"RESIL_OUI";"[61:110]";"O1O2";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"61";"RESIL_NON";"[41:60]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"62";"RESIL_NON";"[41:60]";"O3O4";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"63";"RESIL_NON";"[41:60]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"64";"RESIL_NON";"[61:110]";"O3O4";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"65";"RESIL_NON";"[26:40]";"O7";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"66";"RESIL_NON";"[26:40]";"O7";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"67";"RESIL_NON";"[41:60]";"O3O4";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"68";"RESIL_OUI";"[26:40]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"69";"RESIL_OUI";"[26:40]";"O1O2";"NO_DEP";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXNON"
"70";"RESIL_NON";"[41:60]";"O1O2";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"71";"RESIL_NON";"[41:60]";"O7";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"73";"RESIL_NON";"[26:40]";"O3O4";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"74";"RESIL_OUI";"[0:25]";"O1O2";"NO_DEP";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXOUI"
"75";"RESIL_OUI";"[0:25]";"O7";"NO_DEP";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXNON"
"76";"RESIL_NON";"[61:110]";"O3O4";"NO_DEP";"PAS_VARIATION";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"78";"RESIL_NON";"[26:40]";"O5O6";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"79";"RESIL_NON";"[0:25]";"O3O4";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"80";"RESIL_NON";"[26:40]";"O5O6";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"81";"RESIL_NON";"[26:40]";"O3O4";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"82";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"83";"RESIL_OUI";"[41:60]";"O1O2";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"84";"RESIL_OUI";"[26:40]";"O7";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"85";"RESIL_OUI";"[26:40]";"O7";"NO_DEP";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXNON"
"86";"RESIL_NON";"[61:110]";"O3O4";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"87";"RESIL_OUI";"[0:25]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"88";"RESIL_NON";"[26:40]";"O3O4";"DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"89";"RESIL_NON";"[61:110]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"91";"RESIL_NON";"[0:25]";"O3O4";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"92";"RESIL_OUI";"[41:60]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"93";"RESIL_OUI";"[61:110]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"94";"RESIL_NON";"[61:110]";"O3O4";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"95";"RESIL_NON";"[0:25]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"96";"RESIL_NON";"[0:25]";"O5O6";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"97";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"98";"RESIL_NON";"[26:40]";"O5O6";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"99";"RESIL_NON";"[0:25]";"O3O4";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"100";"RESIL_NON";"[41:60]";"O3O4";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"101";"RESIL_OUI";"[0:25]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"102";"RESIL_NON";"[41:60]";"O1O2";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"103";"RESIL_NON";"[26:40]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"104";"RESIL_NON";"[61:110]";"O7";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"105";"RESIL_NON";"[26:40]";"O7";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"106";"RESIL_NON";"[0:25]";"O5O6";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"107";"RESIL_OUI";"[61:110]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"108";"RESIL_OUI";"[41:60]";"O3O4";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"109";"RESIL_OUI";"[26:40]";"O1O2";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"110";"RESIL_OUI";"[61:110]";"O5O6";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"111";"RESIL_NON";"[26:40]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"112";"RESIL_NON";"[0:25]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"113";"RESIL_NON";"[26:40]";"O3O4";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"114";"RESIL_NON";"[61:110]";"O3O4";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"115";"RESIL_NON";"[61:110]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"116";"RESIL_NON";"[26:40]";"O3O4";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"117";"RESIL_NON";"[0:25]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"118";"RESIL_OUI";"[61:110]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"119";"RESIL_NON";"[61:110]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"120";"RESIL_NON";"[0:25]";"O7";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"121";"RESIL_NON";"[61:110]";"O5O6";"NO_DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"122";"RESIL_NON";"[61:110]";"O7";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"123";"RESIL_NON";"[61:110]";"O1O2";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"124";"RESIL_NON";"[0:25]";"O7";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"125";"RESIL_OUI";"[0:25]";"O1O2";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"126";"RESIL_OUI";"[61:110]";"O1O2";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
